tconst,stars,n,date
tt0033729,4,421,2023-02-14
tt0033729,5,1016,2023-02-14
tt0033729,6,2259,2023-02-14
tt0033729,7,5101,2023-02-14
tt0033729,8,6765,2023-02-14
tt0033729,9,4001,2023-02-14
tt0033729,10,4531,2023-02-14
tt0033804,1,222,2023-02-14
tt0033804,2,90,2023-02-14
tt0033804,3,149,2023-02-14
tt0033804,4,291,2023-02-14
tt0033804,5,845,2023-02-14
tt0033804,6,1956,2023-02-14
tt0033804,7,4489,2023-02-14
tt0033804,8,6144,2023-02-14
tt0033804,9,3625,2023-02-14
tt0033804,10,4255,2023-02-14
tt0033870,1,2103,2023-02-14
tt0033870,2,788,2023-02-14
tt0033870,3,1110,2023-02-14
tt0033870,4,1911,2023-02-14
tt0033870,5,4520,2023-02-14
tt0033870,6,11313,2023-02-14
tt0033870,7,29399,2023-02-14
tt0033870,8,47778,2023-02-14
tt0033870,9,32723,2023-02-14
tt0033870,10,29015,2023-02-14
tt0034240,1,507,2023-02-14
tt0034240,2,111,2023-02-14
tt0034240,3,236,2023-02-14
tt0034240,4,311,2023-02-14
tt0034240,5,838,2023-02-14
tt0034240,6,2085,2023-02-14
tt0034240,7,5054,2023-02-14
tt0034240,8,7491,2023-02-14
tt0034240,9,4957,2023-02-14
tt0034240,10,5424,2023-02-14
tt0034248,1,185,2023-02-14
tt0034248,2,160,2023-02-14
tt0034248,3,266,2023-02-14
tt0034248,4,627,2023-02-14
tt0034248,5,1897,2023-02-14
tt0034248,6,5356,2023-02-14
tt0034248,7,12788,2023-02-14
tt0034248,8,11528,2023-02-14
tt0034248,9,3959,2023-02-14
tt0034248,10,2865,2023-02-14
tt0034398,1,176,2023-02-14
tt0034398,2,106,2023-02-14
tt0034398,3,228,2023-02-14
tt0034398,4,547,2023-02-14
tt0034398,5,1508,2023-02-14
tt0034398,6,4002,2023-02-14
tt0034398,7,8592,2023-02-14
tt0034398,8,7057,2023-02-14
tt0034398,9,2756,2023-02-14
tt0034398,10,3344,2023-02-14
tt0034492,1,987,2023-02-14
tt0034492,2,773,2023-02-14
tt0034492,3,1360,2023-02-14
tt0034492,4,3036,2023-02-14
tt0034492,5,8171,2023-02-14
tt0034492,6,20994,2023-02-14
tt0034492,7,44744,2023-02-14
tt0034492,8,35905,2023-02-14
tt0034492,9,13796,2023-02-14
tt0034492,10,16058,2023-02-14
tt0034583,1,8610,2023-02-14
tt0034583,2,2681,2023-02-14
tt0034583,3,3210,2023-02-14
tt0034583,4,5458,2023-02-14
tt0034583,5,11579,2023-02-14
tt0034583,6,26003,2023-02-14
tt0034583,7,71149,2023-02-14
tt0034583,8,136133,2023-02-14
tt0034583,9,140360,2023-02-14
tt0034583,10,170881,2023-02-14
tt0034587,1,162,2023-02-14
tt0034587,2,102,2023-02-14
tt0034587,3,231,2023-02-14
tt0034587,4,559,2023-02-14
tt0034587,5,1383,2023-02-14
tt0034587,6,3513,2023-02-14
tt0034587,7,6973,2023-02-14
tt0034587,8,6348,2023-02-14
tt0034587,9,2498,2023-02-14
tt0034587,10,2154,2023-02-14
tt0035015,1,272,2023-02-14
tt0035015,2,141,2023-02-14
tt0035015,3,212,2023-02-14
tt0035015,4,418,2023-02-14
tt0035015,5,982,2023-02-14
tt0035015,6,2510,2023-02-14
tt0035015,7,5339,2023-02-14
tt0035015,8,7089,2023-02-14
tt0035015,9,4185,2023-02-14
tt0035015,10,4217,2023-02-14
tt0035279,1,139,2023-02-14
tt0035279,2,99,2023-02-14
tt0035279,3,184,2023-02-14
